F778;Xsmall;LATIN SMALL CAPITAL LETTER X;<sc> 0078
F779;Ysmall;LATIN SMALL CAPITAL LETTER Y;<sc> 0079
F77A;Zsmall;LATIN SMALL CAPITAL LETTER Z;<sc> 007A
F7A1;exclamdownsmall;SMALL CAPITAL INVERTED EXCLAMATION MARK;<sc> 00A1
F7A2;centoldstyle;OLDSTYLE CENT SIGN;<osf> 00A2
F7A8;Dieresissmall;SMALL CAPITAL DIAERESIS;<sc> 00A8
F7AF;Macronsmall;SMALL CAPITAL MACRON;<sc> 00AF
F7B4;Acutesmall;SMALL CAPITAL ACUTE ACCENT;<sc> 00B4
F7B8;Cedillasmall;SMALL CAPITAL CEDILLA;<sc> 00B8
F7BF;questiondownsmall;SMALL CAPITAL INVERTED QUESTION MARK;<sc> 00BF
F7E0;Agravesmall;LATIN SMALL CAPITAL LETTER A WITH GRAVE;<sc> 00E0
F7E1;Aacutesmall;LATIN SMALL CAPITAL LETTER A WITH ACUTE;<sc> 00E1
F7E2;Acircumflexsmall;LATIN SMALL CAPITAL LETTER A WITH CIRCUMFLEX;<sc> 00E2
F7E3;Atildesmall;LATIN SMALL CAPITAL LETTER A WITH TILDE;<sc> 00E3
F7E4;Adieresissmall;LATIN SMALL CAPITAL LETTER A WITH DIAERESIS;<sc> 00E4
F7E5;Aringsmall;LATIN SMALL CAPITAL LETTER A WITH RING ABOVE;<sc> 00E5
F7E6;AEsmall;LATIN SMALL CAPITAL LETTER AE;<sc> 00E6
F7E7;Ccedillasmall;LATIN SMALL CAPITAL LETTER C WITH CEDILLA;<sc> 00E7
F7E8;Egravesmall;LATIN SMALL CAPITAL LETTER E WITH GRAVE;<sc> 00E8
F7E9;Eacutesmall;LATIN SMALL CAPITAL LETTER E WITH ACUTE;<sc> 00E9
F7EA;Ecircumflexsmall;LATIN SMALL CAPITAL LETTER E WITH CIRCUMFLEX;<sc> 00EA
F7EB;Edieresissmall;LATIN SMALL CAPITAL LETTER E WITH DIAERESIS;<sc> 00EB
F7EC;Igravesmall;LATIN SMALL CAPITAL LETTER I WITH GRAVE;<sc> 00EC
F7ED;Iacutesmall;LATIN SMALL CAPITAL LETTER I WITH ACUTE;<sc> 00ED
F7EE;Icircumflexsmall;LATIN SMALL CAPITAL LETTER I WITH CIRCUMFLEX;<sc> 00EE
F7EF;Idieresissmall;LATIN SMALL CAPITAL LETTER I WITH DIAERESIS;<sc> 00EF
F7F0;Ethsmall;LATIN SMALL CAPITAL LETTER ETH;<sc> 00F0
F7F1;Ntildesmall;LATIN SMALL CAPITAL LETTER N WITH TILDE;<sc> 00F1
F7F2;Ogravesmall;LATIN SMALL CAPITAL LETTER O WITH GRAVE;<sc> 00F2
F7F3;Oacutesmall;LATIN SMALL CAPITAL LETTER O WITH ACUTE;<sc> 00F3
F7F4;Ocircumflexsmall;LATIN SMALL CAPITAL LETTER O WITH CIRCUMFLEX;<sc> 00F4
F7F5;Otildesmall;LATIN SMALL CAPITAL LETTER O WITH TILDE;<sc> 00F5
F7F6;Odieresissmall;LATIN SMALL CAPITAL LETTER O WITH DIAERESIS;<sc> 00F6
F7F8;Oslashsmall;LATIN SMALL CAPITAL LETTER O WITH STROKE;<sc> 00F8
F7F9;Ugravesmall;LATIN SMALL CAPITAL LETTER U WITH GRAVE;<sc> 00F9
F7FA;Uacutesmall;LATIN SMALL CAPITAL LETTER U WITH ACUTE;<sc> 00FA
F7FB;Ucircumflexsmall;LATIN SMALL CAPITAL LETTER U WITH CIRCUMFLEX;<sc> 00FB
F7FC;Udieresissmall;LATIN SMALL CAPITAL LETTER U WITH DIAERESIS;<sc> 00FC
F7FD;Yacutesmall;LATIN SMALL CAPITAL LETTER Y WITH ACUTE;<sc> 00FD
F7FE;Thornsmall;LATIN SMALL CAPITAL LETTER THORN;<sc> 00FE
F7FF;Ydieresissmall;LATIN SMALL CAPITAL LETTER Y WITH DIAERESIS;<sc> 00FF


# --------------------------------------------------------------------------
# 2.  From the character set of the font ITC Zapf Dingbats. These UV
#     assignments and descriptive names are identical to Apple's. These UVs
#     should be used only by the font ITC Zapf Dingbats (PostScript name
#     "ZapfDingbats"). Glyphs with the same glyph names in other fonts
#     should not be assigned to these UVs.
#     [14 UVs]

F8D7;a89;MEDIUM LEFT PARENTHESIS ORNAMENT
F8D8;a90;MEDIUM RIGHT PARENTHESIS ORNAMENT
F8D9;a93;MEDIUM FLATTENED LEFT PARENTHESIS ORNAMENT
F8DA;a94;MEDIUM FLATTENED RIGHT PARENTHESIS ORNAMENT
F8DB;a91;MEDIUM LEFT-POINTING ANGLE BRACKET ORNAMENT
F8DC;a92;MEDIUM RIGHT-POINTING ANGLE BRACKET ORNAMENT
F8DD;a205;HEAVY LEFT-POINTING ANGLE QUOTATION MARK ORNAMENT
F8DE;a85;HEAVY RIGHT-POINTING ANGLE QUOTATION MARK ORNAMENT
F8DF;a206;HEAVY LEFT-POINTING ANGLE BRACKET ORNAMENT
F8E0;a86;HEAVY RIGHT-POINTING ANGLE BRACKET ORNAMENT
F8E1;a87;LIGHT LEFT TORTOISE SHELL BRACKET ORNAMENT
F8E2;a88;LIGHT RIGHT TORTOISE SHELL BRACKET ORNAMENT
F8E3;a95;MEDIUM LEFT CURLY BRACKET ORNAMENT
F8E4;a96;MEDIUM RIGHT CURLY BRACKET ORNAMENT


# --------------------------------------------------------------------------
# 1.  From the character set of the font Symbol. These UV assignments and
#     descriptive names are identical to Apple's.
#     [26 UVs]

F8E5;radicalex;RADICAL EXTENDER
F8E6;arrowvertex;VERTICAL ARROW EXTENDER
F8E7;arrowhorizex;HORIZONTAL ARROW EXTENDER
F8E8;registersans;REGISTERED SIGN SANS SERIF;<font> 00AE
F8E9;copyrightsans;COPYRIGHT SIGN SANS SERIF;<font> 00A9
F8EA;trademarksans;TRADE MARK SIGN SANS SERIF;<font> 2122
F8EB;parenlefttp;LEFT PAREN TOP
F8EC;parenleftex;LEFT PAREN EXTENDER
F8ED;parenleftbt;LEFT PAREN BOTTOM
F8EE;bracketlefttp;LEFT SQUARE BRACKET TOP
F8EF;bracketleftex;LEFT SQUARE BRACKET EXTENDER
